# Solar System
0.955377 28628.2
1.858 2942.56
2.89419 6.00342e-05
3.88267 7.47723e-07
4.87638 2.25437e-05
5.86791 10.6606
6.87988 3.23275
7.9204 24.478
8.89082 0.000867651
9.90136 3.4086
10.8886 0.0587378
11.8843 1.06105
12.9014 0.0878073
13.899 0.999576
14.9242 0.0108538
15.9161 0.519275
16.9413 0.0054979
17.9348 0.174977
18.9572 0.00383923
19.9535 0.0604685
20.9902 3.63776e-05
21.9498 0.00240817
22.9652 0.000307242
23.9573 0.0138749
25.0072 0.00999934
25.9553 0.867633
26.9861 0.0023073
27.9813 0.0476309
