# x N_sources
1966 0.94
1966.2 1.15
1966.4 1.37
1966.6 1.58
1966.8 1.79
1967 2
1967.2 2.21
1967.4 2.43
1967.6 2.64
1967.8 3.14
1968 3.77
1968.2 4.4
1968.4 5.03
1968.6 5.65
1968.8 6.28
1969 6.73
1969.2 6.74
1969.4 6.74
1969.6 6.75
1969.8 6.75
1970 6.76
1970.2 6.76
1970.4 6.76
1970.6 6.77
1970.8 6.77
1971 6.78
1971.2 6.78
1971.4 6.79
1971.6 6.79
1971.8 6.8
1972 6.8
1972.2 8.07
1972.4 9.33
1972.6 10.6
1972.8 11.87
1973 13.13
1973.2 13.49
1973.4 13.5
1973.6 13.5
1973.8 13.51
1974 13.51
1974.2 14.69
1974.4 15.88
1974.6 17.06
1974.8 18.24
1975 19.42
1975.2 20.2
1975.4 20.94
1975.6 21.67
1975.8 22.41
1976 23.14
1976.2 23.99
1976.4 24.98
1976.6 25.98
1976.8 26.97
1977 27.96
1977.2 29.37
1977.4 30.95
1977.6 32.52
1977.8 34.41
1978 36.97
1978.2 39.53
1978.4 42.08
1978.6 45.14
1978.8 48.23
1979 51.33
1979.2 51.75
1979.4 51.89
1979.6 52.03
1979.8 52.17
1980 52.31
1980.2 55.85
1980.4 59.39
1980.6 63.3
1980.8 67.34
1981 71.04
1981.2 71.43
1981.4 71.83
1981.6 72.23
1981.8 72.63
1982 73.02
1982.2 73.94
1982.4 74.86
1982.6 75.78
1982.8 76.7
1983 77.62
1983.2 83.17
1983.4 89.19
1983.6 95.22
1983.8 101.24
1984 107.26
1984.2 108.4
1984.4 108.41
1984.6 108.41
1984.8 108.42
1985 108.42
1985.2 108.43
1985.4 108.43
1985.6 108.44
1985.8 108.44
1986 108.44
1986.2 108.53
1986.4 108.87
1986.6 109.2
1986.8 109.54
1987 109.87
1987.2 110.21
1987.4 110.51
1987.6 110.69
1987.8 110.87
1988 111.06
1988.2 111.24
1988.4 111.42
1988.6 111.6
1988.8 111.78
1989 111.96
1989.2 112.14
1989.4 112.32
1989.6 112.5
1989.8 112.69
1990 112.87
1990.2 113.05
1990.4 113.24
1990.6 113.48
1990.8 113.72
1991 114.27
1991.2 115.64
1991.4 117
1991.6 118.21
1991.8 119.4
1992 120.58
1992.2 124.12
1992.4 127.65
1992.6 131.19
1992.8 134.73
1993 138.27
1993.2 140.2
1993.4 141.98
1993.6 143.75
1993.8 145.52
1994 147.29
1994.2 168.63
1994.4 189.97
1994.6 211.31
1994.8 232.65
1995 252.98
1995.2 263.58
1995.4 274.19
1995.6 284.79
1995.8 295.4
1996 306
