 Source Name ;Alternate Name(s);Type ;TypeID;Gal_Long;Gal_Lat;RA;Dec;Skymap_x;Skymap_y;Distance(kpc/z);Energy(MeV);General Information 
1A 0535+262;4U 0538+26,1H 0536+263;HMXRB;1;181.45;-2.64;84.73;26.32;-178.3605;-2.6400;;0.05–0.30;"Gamma-ray spectra (Grove et al. 1995b; Hameury et al. 1983; Dal Fiume, Frontera, & Morelli 1988; Polcaro et al. 1983); flux measurements (Levine et al. 1984; Fishman & Watts 1977; Refloc'h et al. 1986)"
1A 1742-294;1E 1742.9-2929,2S 1742-294;LMXRB;1;359.56;-0.39;266.53;-29.52;-0.4400;-0.3900;7;0.05–0.18;"Flux measurement (Levine et al. 1984); distance (Christian & Swank 1997)"
1E 1740.7-2942;Great Annihilator,IRAS 17408-2942;Accretor;1;359.15;-0.12;266.01;29.72;-0.8500;-0.1200;;0.05–0.40;"Low-energy continuum spectral observations (Heindl et al. 1993; Skinner et al. 1991; Bazzano et al. 1992);"
2CG 006+00;GRO J1758-23,2EG J1801-2312;Unidentified;5;6.73;-0.14;270.34;-23.21;6.7300;-0.1400;;100;"Flux measurements (Thompson et al. 1995; Swanenburg et al. 1981)"
2CG 010-31;;Unidentified;5;10.53;-31.52;304.75;-31.8;8.9764;-31.5200;;100;Flux measurement (Swanenburg et al. 1981)
2CG 013+00;;Unidentified;5;13.69;0.6;273.27;-16.77;13.6892;0.6000;;100;Flux measurement (Swanenburg et al. 1981)
2CG 036+01;;Unidentified;5;36.49;1.53;283.12;3.86;36.4770;1.5300;;100;Flux measurement (Swanenburg et al. 1981)
2CG 065+00;GEV J1957+2859;Unidentified;5;65.75;-0.01;299.25;28.8;65.7500;-0.0100;;100;"Flux measurement (Swanenburg et al. 1981); high-energy measurement (Lamb & Macomb 1997)"
2CG 075+00;GRO J2021+37,2EG J2019+3719;Unidentified;5;75.46;0.6;304.94;37.32;75.4559;0.6000;;100;"Flux measurement (Swanenburg et al. 1981; Thompson et al. 1995)"
2CG 078+01;GRO J2019+40,2EG J2020+4026;Unidentified;5;78.12;2.23;305.14;40.44;78.0608;2.2300;;100;"Flux measurement (Swanenburg et al. 1981; Thompson et al. 1995); possible association with an X-ray point source and proposed identification as a pulsar (Brazier et al. 1996)"
2CG 095+04;;Unidentified;5;95.43;4.27;313.07;55.2;95.1651;4.2700;;100;High-energy flux measurement (Swanenburg et al. 1981)
2CG 121+04;;Unidentified;5;121;3.98;8;66.8;120.7082;3.9800;;100;Flux measurement (Swanenburg et al. 1981)
2CG 135+01;GRO J0240+61,2EG J0241+6119;Unidentified;5;135.67;1.09;40.13;61.24;135.6455;1.0900;;0.12–30,100;"High-energy flux measurement (Swanenburg et al. 1981; Thompson et al. 1995); MeV detection (van Dijk et al. 1994b)"
2CG 218-00;;Unidentified;5;218.36;-0.53;104.75;-5.1;-141.6339;-0.5300;;100;Flux measurement (Swanenburg et al. 1981)
2CG 235-01;;Unidentified;5;235.41;-1.07;112.5;-20.4;-124.5683;-1.0700;;100;Flux measurement (Swanenburg et al. 1981)
2CG 284-00;GRO J1021-58,2EG J1021-5835;Unidentified;5;284.45;-1.2;155.41;-58.59;-75.5334;-1.2000;;100;"Flux measurement (Thompson et al. 1995; Swanenburg et al. 1981)"
2CG 288-00;GRO J1047-58,2EG J1049-5847;Unidentified;5;287.63;0.4;162.25;-58.78;-72.3682;0.4000;;100;"Flux measurement (Thompson et al. 1995; Swanenburg et al. 1981)"
2CG 311-01;GRO J1416-61,2EG J1412-6211;Unidentified;5;312.28;-0.81;213.23;-62.19;-47.7152;-0.8100;;0.05–0.11,100;"Flux measurement (Thompson et al. 1995; Swanenburg et al. 1981)"
2CG 333+01;;Unidentified;5;333.52;0.96;244.25;-49.3;-26.4763;0.9600;;100;Flux measurement (Swanenburg et al. 1981)
2CG 356+00;;Unidentified;5;356.56;0.23;264;-31.7;-3.4400;0.2300;;100;Flux measurement (Swanenburg et al. 1981)
2CG 359-00;2EG J1747-3039,GRO J1732-31;Unidentified;5;358.77;-1.3;266.95;-30.66;-1.2297;-1.3000;;1-3,100;"Flux measurement (Thompson et al. 1995; Swanenburg et al. 1981; Macomb & Shrader 1996)"
2CG 359-00;;Unidentified;5;359.53;-0.76;266.87;-29.3;-0.4700;-0.7600;;100;Flux measurement (Swanenburg et al. 1981)
2EG J0008+7307;GRO J0004+73;Unidentified;5;119.77;10.52;2.09;73.13;117.7568;10.5200;;30;"Flux measurement (Thompson et al. 1995); gamma-ray spectrum (Nolan et al. 1996)"
2EG J0119+0312;GRO J0118+02;Unidentified;5;136.77;-58.9;19.97;3.21;70.6463;-58.9000;;100;Flux measurement (Thompson et al. 1995)
2EG J0159-3557;;Unidentified;5;248.55;-73.08;29.85;-35.95;-32.4360;-73.0800;;100;Flux measurement (Thompson et al. 1995)
2EG J0216+1107;GRO J0215+11;Unidentified;5;153.93;-46.6;34;11.12;105.7634;-46.6000;;100;Flux measurement (Thompson et al. 1995)
2EG J0220+4228;GRO J0222+42;Unidentified;5;139.98;-17.33;35.19;42.57;133.6256;-17.3300;;100;"High-energy detection and possible identification as QSO 0219+428 (Thompson et al. 1995; Dingus et al. 1996); possible alternative identification of 2EG source as PSR J0218+4232 (Verbunt et al. 1996)"
2EG J0239+2818;;Unidentified;5;150.33;-28.8;40.09;28.21;131.7352;-28.8000;;30–1000;"Flux measurements and possible identification with 4C 28.07 (Thompson et al. 1995; Dingus et al. 1996)"
2EG J0323+5126;;Unidentified;5;145.53;-4.65;50.77;51.44;145.0510;-4.6500;;100;Flux measurement (Thompson et al. 1995)
2EG J0403+3357;;Unidentified;5;162.4;-13.79;60.95;33.96;157.7190;-13.7900;;100;Flux measurement (Thompson et al. 1995)
2EG J0406+1704;GRO J0407+17;Unidentified;5;175.61;-25.23;61.67;17.08;158.8575;-25.2300;;100;Flux measurement (Thompson et al. 1995)
2EG J0422+1414;GRO J0421+15;Unidentified;5;180.65;-24.26;65.53;14.24;-163.5117;-24.2600;;100;Flux measurement (Thompson et al. 1995)
2EG J0426+6618;;Unidentified;5;142.24;11.87;66.51;66.31;139.1985;11.8700;;100;Flux measurement (Thompson et al. 1995)
2EG J0432+2910;GRO J0431+29;Unidentified;5;170.34;-12.68;68.21;29.18;166.1856;-12.6800;;30;Flux measurement (Thompson et al. 1995)
2EG J0437+1524;GRO J0438+15;Unidentified;5;182.1;-20.68;69.3;15.41;-166.4374;-20.6800;;100;Flux measurement (Thompson et al. 1995)
2EG J0506+3424;;Unidentified;5;170.85;-3.79;76.7;34.4;170.4764;-3.7900;;100;Flux measurement (Thompson et al. 1995)
2EG J0511+5523;;Unidentified;5;154.4;9.35;77.95;55.4;152.3487;9.3500;;100;Flux measurement (Thompson et al. 1995)
2EG J0520+2626;;Unidentified;5;179.04;-6.07;80.06;26.44;178.0362;-6.0700;;100;Flux measurement (Thompson et al. 1995)
2EG J0521+2206;;Unidentified;5;182.87;-8.18;80.48;22.11;-175.3279;-8.1800;;100;Flux measurement (Thompson et al. 1995)
2EG J0545+3943;GRO J0544+39;Unidentified;5;170.79;5.65;86.48;39.73;169.9603;5.6500;;100;Flux measurement (Thompson et al. 1995)
2EG J0617-0652;GRO J0605-09;Unidentified;5;215.27;-10.62;94.42;-6.88;-142.2509;-10.6200;;100;Flux measurement (Thompson et al. 1995)
2EG J0618+2234;GRO J0617+22;Unidentified;5;189.13;3.19;94.5;22.58;-170.6052;3.1900;;100;Flux measurement (Thompson et al. 1995)
2EG J0635+0521;GRO J0635+05;Unidentified;5;206.3;-1.2;98.75;5.35;-153.6663;-1.2000;;100;Flux measurement (Thompson et al. 1995)
2EG J0720-4746;GRO J0724-47;Unidentified;5;259.24;-15.19;110.12;-47.77;-97.2397;-15.1900;;30;Flux measurement (Thompson et al. 1995)
2EG J0744+5438;GRO J0744+54;Unidentified;5;163.18;29.34;116.12;54.65;142.2485;29.3400;;70;Flux measurement (Thompson et al. 1995)
2EG J0809+5117;;Unidentified;5;167.46;32.74;122.27;51.29;140.8562;32.7400;;100;Flux measurement (Thompson et al. 1995)
2EG J0812-0648;GRO J0812-06;Unidentified;5;228.64;14.55;123.07;-6.82;-127.1471;14.5500;1.837;30;"Flux measurements and possible ID (Thompson et al. 1995); gamma-ray spectrum (Nolan et al. 1997)"
2EG J0852-1237;GRO J0853-12;Unidentified;5;239.35;19.75;133.12;-12.63;-113.5529;19.7500;;100;Flux measurement (Thompson et al. 1995)
2EG J1054+5736;;Unidentified;5;148.8;53.26;163.7;57.61;89.0099;53.2600;;100;Flux measurement (Thompson et al. 1995)
2EG J1103-6106;GRO J1110-60;Unidentified;5;290.3;-0.9;165.95;-61.1;-69.6914;-0.9000;;100;Flux measurement (Thompson et al. 1995)
2EG J1136-0414;;Unidentified;5;270.26;53.84;174.23;-4.24;-52.9504;53.8400;;100;Flux measurement (Thompson et al. 1995)
2EG J1233-1407;;Unidentified;5;296.2;48.5;188.26;-14.13;-42.2752;48.5000;;30;Flux measurement (Thompson et al. 1995)
2EG J1239+0441;GRO J1237+04;Unidentified;5;295.04;67.38;189.82;4.69;-24.9848;67.3800;;30;Flux measurement (Thompson et al. 1995)
2EG J1248-8308;GRO J1227-83;Unidentified;5;302.83;-20.27;192.06;-83.14;-53.6295;-20.2700;;30;"Flux measurement (Thompson et al. 1995); spectral information (Dingus et al. 1996)"
2EG J1324-4317;GRO J1314-42;Unidentified;5;309.32;19.16;201.16;-43.3;-47.8726;19.1600;;100;"Gamma-ray observations and possible association with Cen A (Thompson et al. 1995; Nolan et al. 1996)"
2EG J1332+8821;;Unidentified;5;122.6;28.75;203.04;88.35;107.4867;28.7500;;100;Flux measurement (Thompson et al. 1995)
2EG J1346+2942;;Unidentified;5;48.11;77.57;206.7;29.7;10.3555;77.5700;;100;Flux measurement (Thompson et al. 1995)
2EG J1430+5356;;Unidentified;5;95.52;57.58;217.66;53.95;51.2103;57.5800;;100;Flux measurement (Thompson et al. 1995)
2EG J1443-6040;GRO J1443-60;Unidentified;5;316.28;-0.75;220.98;-60.67;-43.7163;-0.7500;;100;Flux measurement (Thompson et al. 1995)
2EG J1457-1916;GRO J1456-19;Unidentified;5;339.68;34.46;224.36;-19.27;-16.7543;34.4600;;100;Flux measurement (Thompson et al. 1995)
2EG J1528-2352;;Unidentified;5;343.23;26.45;232.15;-23.87;-15.0146;26.4500;;100;Flux measurement (Thompson et al. 1995)
2EG J1631-2845;;Unidentified;5;350.4;13.26;247.76;-28.75;-9.3441;13.2600;;100;Flux measurement (Thompson et al. 1995)
2EG J1635-1427;GRO J1648-15;Unidentified;5;2.57;21.67;248.76;-14.46;2.3884;21.6700;;30;Flux measurement (Thompson et al. 1995)
2EG J1648-5042;;Unidentified;5;335.95;-3.68;252.04;-50.71;-24.0004;-3.6800;;100;Flux measurement (Thompson et al. 1995)
2EG J1709-0350;GRO J1709-03;Unidentified;5;17.07;20.63;257.32;-3.84;15.9754;20.6300;;100;Flux measurement (Thompson et al. 1995)
2EG J1718-3310;GRO J1716-35;Unidentified;5;353.31;2.48;259.71;-33.18;-6.6837;2.4800;;100;Flux measurement (Thompson et al. 1995)
2EG J1731+6007;;Unidentified;5;88.93;33.14;262.9;60.12;74.4644;33.1400;;100;Flux measurement (Thompson et al. 1995)
2EG J1742-2250;;Unidentified;5;4.78;3.86;265.53;-22.85;4.7692;3.8600;;100;Flux measurement (Thompson et al. 1995)
2EG J1746-0935;GRO J1747-09;Unidentified;5;16.76;9.81;266.56;-9.59;16.5149;9.8100;;100;Flux measurement (Thompson et al. 1995)
