1 H 0.1091 0.0032 2.75 0.02
2 He 0.066 0.0015 2.62 0.02
3 Li 0.00208 0.00051 2.54 0.09
4 Be 0.000474 4.8e-05 2.75 0.04
5 B 0.000859 7.9e-05 2.95 0.05
6 C 0.0106 0.0001 2.66 0.02
7 N 0.00235 8e-05 2.72 0.05
8 O 0.0157 0.0004 2.68 0.03
9 F 0.000328 4.8e-05 2.69 0.08
10 Ne 0.0046 0.0001 2.64 0.03
11 Na 0.000754 3.3e-05 2.66 0.04
12 Mg 0.00801 0.00026 2.64 0.04
13 Al 0.00115 0.00015 2.66 0.04
14 Si 0.00699 0.00014 2.68 0.03
15 P 0.00027 2e-05 2.69 0.06
16 S 0.00218 8e-05 2.46 0.08
17 Cl 0.000294 1.9e-05 2.68 0.05
18 Ar 0.000817 3.5e-05 2.69 0.04
19 K 0.000536 1.5e-05 2.65 0.04
20 Ca 0.00145 9e-05 2.72 0.09
21 Sc 0.000304 1.9e-05 2.64 0.06
22 Ti 0.00113 0.00014 2.61 0.06
23 V 0.000631 2.8e-05 2.63 0.05
24 Cr 0.00136 0.00012 2.67 0.06
25 Mn 0.00135 0.00014 2.46 0.22
26 Fe 0.0178 0.0018 2.60 0.09
27 Co 7.51e-05 3.7e-06 2.72 0.09
28 Ni 0.000996 4.3e-05 2.51 0.18

